name,code,lead_broker,cap_raise_price,raise_amt,due_date,0 days effective_return,0 days normal_return,30 days effective_return,30 days normal_return,60 days effective_return,60 days normal_return,90 days effective_return,90 days normal_return
Payright Limited,PYR,MST Financial Services,0.015,4.4M,05/04/2023 12:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Openn Negotiation Limited,OPN,Euroz Hartleys,0.068,2M+,17/01/2023 15:00,47.78,25.0,-2.47,-8.82,-27.39,-29.41,2.55,-4.41
Cyclone Metals Ltd,CLE,Empire Capital Partners,0.0025,1.35M,17/01/2023 17:00,,20.0,,0.0,,-20.0,,-20.0
Black Cat Syndicate Limited,BC8,Shaw and Partners,0.4,12M,18/01/2023 17:00,,1.25,,-7.5,,-13.75,,13.75
Entyr Limited,ETR,Bell Potter + Canaccord Genuity + Morgans Corporate,0.017,7M,09/05/2023 14:00,2.48,0.0,-22.97,-23.53,-29.11,-29.41,-47.02,-47.06
Gateway Mining Limited,GML,JP Equity Holdings,0.062,2.5M,23/01/2023 17:00,17.85,9.68,-18.59,-20.97,-34.47,-35.48,-20.59,-22.58
Sprintex Limited,SIX,,0.04,1.5M,10/07/2023 09:00,14.61,10.0,-5.57,-7.5,N/A,N/A,N/A,N/A
Native Mineral Resources Holdings Limited,NMR,,0.09,1M,24/01/2023 17:00,-0.26,-2.22,-25.17,-25.56,-44.4,-44.44,-55.55,-55.56
Kleos Space,KSS,Evolution Capital,0.02,9.5M,17/05/2023 18:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Simble Solutions LTD,SIS,Ignite Equity,0.01,1.3m,30/01/2023 17:00,11.16,10.0,10.97,10.0,21.35,20.0,-9.84,-10.0
Alice Queen Limited,AQX,,1,400K,28/04/2023 12:30,N/A,N/A,,-99.9,,-99.9,,-98.1
Auteco Minerals Ltd,AUT,Canaccord Genuity,0.05,8m,31/01/2023 17:00,,8.0,,-14.0,,-12.0,,-16.0
Great Southern Mining Limited,GSN,Euroz Hartleys,0.024,1.5m-$3m,31/01/2023 14:00,,25.0,,-16.67,,-25.0,,0.0
Acumentis Group Limited,ACU,Enrizen Capital,0.07,3M,01/02/2023 17:00,,11.43,,0.0,,-4.29,,-10.0
Kneomedia Limited,KNM,,0.01,1.5M,02/02/2023 17:00,N/A,N/A,-8.5,-10.0,-29.64,-30.0,-29.69,-30.0
Stemcell United Ltd,BP8,,0.006,1.025m,07/02/2023 17:00,N/A,N/A,N/A,N/A,,-16.67,,-33.33
Strickland Metals Limited,STK,,0.032,3M,01/02/2023 17:00,,12.5,,25.0,,9.38,,25.0
Siren Gold Limited,SNG,Morgans Corporate,0.15,2M,01/02/2023 17:00,,16.67,,-20.0,,-34.0,,-33.33
DroneShield Limited,DRO,Bell Potter Securities + Peloton Capital,0.3,9M-$11M,02/02/2023 14:00,,23.33,,25.0,,1.67,,0.0
88 Energy Limited,88E,Euroz Hartleys,0.0095,9-12m,02/02/2023 17:00,,26.32,,26.32,,26.32,,-15.79
Lode Resources Ltd,LDR,DealAccess (PAC Partners),0.3,4.44M,02/02/2023 15:30,31.49,11.67,-14.07,-20.0,1.18,-8.33,25.24,8.33
Cyprium Metals Limited - Tranche1,CYM,Canaccord Genuity +  Euroz Hartleys Limited + Evolution Capital,0.11,25M,03/02/2023 14:00,34.28,4.55,N/A,N/A,N/A,N/A,N/A,N/A
AML3D Limited,AL3,Taylor Collison,0.072,3M,06/02/2023 11:00,,52.78,,2.78,,4.17,,-1.39
AIC Mines Limited,A1M,MST Financial Services,0.45,30M,06/02/2023 15:00,,5.56,,-6.67,,-10.0,,-17.78
Cardiex Limited,CDX,River Investment Management + MST Financial Services,0.3,4.5M,08/02/2023 14:00,14.88,10.0,-17.54,-18.33,-14.19,-15.0,-21.3,-21.67
Anteris Technologies,AVR,Evolution Capital,24,24M,08/02/2023 12:00,26.19,-2.21,-0.58,-15.46,15.64,-6.25,18.9,-4.17
West Wits Mining Limited,WWI,Canaccord Genuity,0.014,1.5M,08/02/2023 16:20,,0.0,,-14.29,,21.43,,7.14
Silver Mines Limited,SVL,Canaccord Genuity,0.16,12M,08/02/2023 17:00,,0.0,,-9.38,,50.0,,40.62
Burgundy Diamond Mines Limited,BDM,Bell Potter + Aitken Mount + Euroz Hartleys,0.25,231M,27/04/2023 18:00,N/A,N/A,N/A,N/A,N/A,N/A,,-2.0
Greater Western Exploration Limited,GTE,Euroz Hartleys + Peloton Captital,0.04,2.8M,29/03/2023 16:00,,25.0,,-2.5,,15.0,,-12.5
HMC Capital Limited,HMC,J.P. Morgan +  Macquarie Capital,3.5,125M,29/03/2023 18:00,,4.86,,12.0,,26.29,,38.0
HealthCo Healthcare & Wellness REIT,HCW,,1.35,320M,30/03/2023 12:00,,-0.74,,0.0,,4.81,,-0.37
Sarama Resources Limited - Tranche 2,SRR,Euroz Hartleys,0.1,1.5M,31/03/2023 17:00,29.44,10.0,13.56,0.0,-4.34,-12.5,-18.05,-23.0
Inventis Limited,IVT,,0.058,1.2M,18/04/2023 17:00,,0.0,,-31.03,,-41.38,,-43.1
Peako Limited,PKO,Mahe Capital,0.01,1.5M,31/03/2023 17:00,3.72,0.0,-7.84,-10.0,-8.0,-10.0,-18.95,-20.0
Singular Health Group Ltd,SHG,180 Markets,0.055,850K,03/04/2023 08:00,47.01,18.18,12.09,-1.82,3.53,-7.27,-16.46,-21.82
Sarytogan Graphite Limited,SGA,Inyati Capital + RM Corporate,0.33,3M,04/04/2023 14:00,,12.12,,-3.03,,-13.64,,-28.79
Meteoric Resources NL,MEI,Petra Capital,0.125,20m+,03/04/2023 16:00,,0.0,,24.0,,92.0,,84.0
Frontier Digital Ventures Limited,FDV,Bell Potter + Morgans Corporate,0.56,10M,03/04/2023 17:00,,8.04,,-14.29,,-35.71,,-30.36
Elementos Limited,ELT,,0.18,3M,03/04/2023 16:00,,11.11,,-22.22,,-25.0,,-11.11
Elixinol Wellness Limited,EXL,Canaccord Genuity,0.018,1.25M,04/04/2023 16:00,,5.56,,11.11,,-11.11,,-33.33
Clara Resources Australia Limited - Tranche 2,C7A,Foster Stockbroking + Adelaide Equity,0.06,3.5M,04/04/2023 10:00,-98.33,-98.33,-98.33,-98.33,-98.33,-98.33,-24.22,-26.67
Avenira Limited,AEV,Petra Capital,0.011,3M,04/04/2023 16:00,,18.18,,27.27,,18.18,,63.64
Roots Sustainable Agricultural Technologies Limited,ROO,EverBlu Capital,0.00827,1.2M,05/04/2023 16:00,1471.19,69.29,-10.21,-27.45,-30.69,-39.54,-47.72,-51.63
Hartshead Resources NL,HHR,Bell Potter + Euroz Hartleys,0.04,20M,04/04/2023 17:00,,7.5,,-20.0,,-30.0,,-37.5
Invictus Energy Limited,IVZ,Canaccord Genuity + PAC Partners,0.12,9.5M-12.5M,05/06/2023 12:00,18.05,4.17,5.83,-4.17,36.39,16.67,N/A,N/A
Cynata Therapeutics Limited,CYP,Bell Potter,0.215,10M,04/04/2023 16:00,20.63,6.98,-25.23,-27.91,-30.69,-32.56,-45.92,-46.51
Astro Resources NL,ARO,Rawson Lewis,0.052,3.5M,05/04/2023 14:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Caspin Resources Limited,CPN,Bell Potter,0.3,4M,05/04/2023 17:00,,36.67,,10.0,,-8.33,,-20.0
MGC Pharmaceuticals Limited,MXC,Peterhouse Capital,0.008,3.7M,11/04/2023 17:00,37.34,25.0,3.72,0.0,-37.33,-37.5,-37.38,-37.5
Pivotal Systems Corporation Inc,PVS,Foster Stockbroking + JP Equity,0.008,5.1M,14/04/2023 10:00,,37.5,,0.0,,-12.5,,-12.5
WAM Leaders Limited,WLE,Taylor Collison + Morgans Financial + Ord Minnett + Canaccord Genuity + Shaw and Partners + Bell Potter,1.48,100M,13/04/2023 11:00,,2.7,,1.35,,-5.07,,-2.36
Aurumin Limited - Sub-underwriting,AUN,GBA Capital,0.03,2.96M,13/04/2023 12:00,N/A,N/A,,-1.67,,-3.33,,-16.67
Battery Minerals Limited,BAT,Morgans Corporate + Foster Stockbroking,0.0038,1.5M,12/04/2023 16:00,,5.26,,5.26,,-21.05,,3321.05
BikeExchange Limited,BEX,,0.009,2.5M,13/04/2023 15:00,,0.0,,22.22,,-11.11,,-22.22
TEK-Ocean Group Limited,T3K,Novus Capital,1,1.8M,18/04/2023 17:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reward Minerals Limited,RWD,Lazarus Corporate,0.08,1M,13/04/2023 17:00,-10.68,-13.75,-16.7,-18.75,-35.74,-36.25,-40.97,-41.25
Pentanet Limited,5GG,Shaw and Partners +  Euroz Hartleys,0.083,4.5M-$6.1M,14/04/2023 09:00,,6.02,,-12.05,,-10.84,,-1.2
X2M Connect Limited,X2M,Bell Potter,0.068,750K,14/04/2023 12:00,N/A,N/A,,10.29,,-16.18,,-19.12
BPH Energy Limited,BPH,EverBlu Capital,0.019,800K,14/04/2023 16:00,,10.53,,15.79,,10.53,,0.0
Latin Resources Limited,LRS,Canaccord Genuity,0.105,30M,17/04/2023 16:30,,14.29,,80.95,,90.48,,228.57
Nagambie Resources Limited,NAG,Mahe Capital,0.05,5.4M,18/04/2023 16:00,5.14,-4.0,-16.3,-20.0,-19.01,-22.0,-21.6,-24.0
Fiji Kava Limited,FIJ,Novus Capital,0.003,600K,18/04/2023 16:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eden Innovations Ltd,EDE,,0.005,1.3m,19/04/2023 13:00,,40.0,,-20.0,,-20.0,,-40.0
Linius Technologies Limited,LNU,Taylor Collison,0.003,"900,000",19/04/2023 12:00,,16.67,,0.0,,0.0,,0.0
The Environmental Group Limited,EGL,Taylor Collison + Bell Potter,0.2,8M,19/04/2023 12:00,,10.0,,2.5,,-2.5,,10.0
TMK Energy Limited,TMK,PAC Partners + Bell Potter,0.0145,4M,19/04/2023 12:00,26.59,10.34,15.97,3.45,15.57,3.45,-3.42,-10.34
Galena Mining Limited - Tranche 2,G1A,Petra Capital,0.15,18M,19/04/2023 16:00,,0.0,,-20.0,,-30.0,,-26.67
Calidus Resources Limited,CAI,Euroz Hartleys + Canaccord Genuity,0.21,20M,19/04/2023 17:00,15.59,7.14,-11.55,-14.29,-17.23,-19.05,-3.82,-7.14
Panther Metals Ltd,PNT,Mahe Capital,0.1,2.7m,21/04/2023 17:00,49.03,5.0,-14.74,-23.0,-11.01,-20.0,-26.1,-30.0
Carnaby Resources Limited,CNB,Petra Capital,1.22,20M,21/04/2023 15:00,,2.05,,1.64,,-15.57,,-6.56
Resolution Minerals Ltd,RML,Evolution Capital,0.005,1.3m,26/04/2023 11:00,20.0,20.0,0.0,0.0,-20.0,-20.0,20.0,20.0
Great Northern Minerals Limited - T2,GNM,CPS Capital,0.0025,1.25M,24/04/2023 09:00,64.54,20.0,-12.23,-20.0,N/A,N/A,-223.98,1180.0
Astral Resources NL,AAR,Morgans Corporate,0.072,3M,26/04/2023 16:00,,11.11,,0.0,,-2.78,,11.11
Revolver Resources Holdings Limited,RRR,Lodge Corporate,0.13,3M,27/04/2023 17:00,31.37,11.54,2.12,-7.69,-8.42,-15.38,49.16,23.08
True North Copper,TNC,Bell Potter Securities + Morgans Corporate,0.25,35M,01/05/2023 12:00,N/A,N/A,N/A,N/A,,-2.0,,-8.0
Impact Minerals,IPT,Ignite Equity,0.012,4m,27/04/2023 10:00,,8.33,,-8.33,,16.67,,41.67
QMines Limited,QML,Whairo Capital,0.13,2.5M,28/04/2023 12:00,,11.54,,-11.54,,-7.69,,-3.85
Mayur Resources,MRL,Evolution Capital,0.18,1.5M,28/04/2023 13:00,11.97,0.0,-20.94,-25.0,-37.11,-38.89,22.98,8.33
Peak Rare Earths Limited,PEK,Barrenjoey Markets + Canaccord Genuity,0.5,25M,28/04/2023 12:00,,9.0,,3.0,,-14.0,,-4.0
Dimerix Limited - Final Sub Underwriting Allocation,DXB,Bell Potter,0.08,20.5M,02/05/2023 11:00,18.34,12.5,-11.25,-12.5,-12.83,-13.75,-9.03,-10.0
Aura Energy Limited,AEE,Canaccord Genuity + PAC Partners,0.185,9M,01/05/2023 17:00,,2.7,,-10.81,,10.81,,5.41
IperionX Limited,IPX,Canaccord Genuity,1,18M,01/05/2023 16:30,,-1.5,,-7.0,,11.5,,5.0
Magnetic Resources NL,MAU,Novus Capital,0.45,2m,02/05/2023 15:00,25.8,15.56,25.45,15.56,30.97,20.0,103.26,66.67
GBM Resources Limited,GBZ,Henslow,0.027,1.5M,03/05/2023 12:00,,3.7,,-22.22,,-25.93,,-33.33
Bluechiip Limited,BCT,MST Financial Services,0.025,1.5M,04/05/2023 12:00,,4.0,,4.0,,-12.0,,-12.0
RareX Limited,REE,Canaccord Genuity +  Bell Potter,0.045,2M-3M,03/05/2023 14:00,31.82,15.56,0.05,-6.67,-14.03,-17.78,-3.42,-8.89
Santana Minerals Limited,SMI,Bell Potter + Euroz Hartleys,0.625,12M,03/05/2023 16:30,,6.4,,-2.4,,-11.2,,-6.4
Sunshine Gold Limited,SHN,Bell Potter,0.015,3-4M,04/05/2023 15:30,,13.33,,20.0,,0.0,,20.0
Vulcan Energy Resources Limited,VUL,Merrill Lynch + Canaccord Genuity,5.1,109M,04/05/2023 14:00,,0.98,,-26.08,,-16.08,,-13.33
H&G High Conviction Limited,HCF,Morgans Corporate,1.04,3M,04/05/2023 16:00,,-3.85,,-10.58,,-3.85,,-5.77
4DMedical Limited,4DX,Bell Potter,0.91,10M,05/05/2023 16:00,40.83,23.08,-3.31,-8.24,-12.18,-15.38,-24.86,-26.37
Marvel Gold Limited,MVL,Canaccord Genuity + Bridge Street,0.012,1.5-2M,05/05/2023 14:00,,8.33,,0.0,,8.33,,0.0
Group 6 Metals Limited,G6M,Canaccord Genuity +  Ord Minnett,0.14,27M,05/05/2023 15:00,N/A,N/A,2.69,-7.14,12.7,0.0,-7.88,-14.29
